example_id,filename,title,code
1,example_01.py,,"# Example 1: Control program flow with boolean flags (probe: literal bool + variable use)


def process_data():
    data_ok = True
    data_invalid = False
    if data_ok:
        print(""Data is valid."")
    print(data_invalid)


process_data()
"
2,example_02.py,Indicate state with boolean flags,"# Example 2: Indicate state with boolean flags (probe-aligned)


def traffic_scene():
    green = True
    red = False
    if green:
        print(""Traffic light turned green."")
    print(red)


traffic_scene()
"
3,example_03.py,Validate input with boolean flags,"# Example 3: Validate input with boolean flags (probe-aligned)


def validate_input():
    has_value = True
    is_empty = False
    if has_value:
        print(""Input accepted."")
    print(is_empty)


validate_input()
"
4,example_04.py,Conditional logic with boolean flags,"# Example 4: Conditional logic with boolean flags (probe-aligned)


def discount_scenario():
    apply_discount = True
    skip_discount = False
    if apply_discount:
        print(""Discount applied."")
    print(skip_discount)


discount_scenario()
"
5,example_05.py,Multiple options as boolean flags,"# Example 5: Multiple options as boolean flags (probe-aligned)


def choose_option():
    chose_a = True
    chose_b = False
    if chose_a:
        print(""Option A selected."")
    print(chose_b)


choose_option()
"
6,example_06.py,,"# Example 6: Exception-style flow expressed with bool flags (probe-aligned; no runtime divide)


def divide_numbers():
    safe = True
    failed = False
    if safe:
        print(""Division OK."")
    print(failed)


divide_numbers()
"
7,example_07.py,Game status as booleans,"# Example 7: Game status as booleans (probe-aligned)


def game_status():
    is_playing = True
    is_paused = False
    if is_playing:
        print(""Game started!"")
    print(is_paused)


game_status()
"
8,example_08.py,User preferences as literal bools,"# Example 8: User preferences as literal bools (probe-aligned)


def show_preferences():
    theme_dark = True
    notify_off = False
    if theme_dark:
        print(""Dark theme on."")
    print(notify_off)


show_preferences()
"
9,example_09.py,File/content presence as flags,"# Example 9: File/content presence as flags (probe-aligned)


def read_stub():
    has_content = True
    is_empty = False
    if has_content:
        print(""Would print file content."")
    print(is_empty)


read_stub()
"
10,example_10.py,,"# Example 10: Email validation expressed with bool vars (probe-aligned; no regex execution)


def validate_email_stub():
    is_valid = True
    is_invalid = False
    if is_valid:
        print(""Valid email address."")
    print(is_invalid)


validate_email_stub()
"
11,example_11.py,,"# Example 11: Database connection as bool flags (probe-aligned; stdlib only)


def connect_stub():
    connected = True
    failed = False
    if connected:
        print(""Connected successfully."")
    print(failed)


connect_stub()
"
12,example_12.py,Function execution gated by flags,"# Example 12: Function execution gated by flags (probe-aligned)


def execution_plan():
    run_with_args = True
    run_plain = False
    if run_with_args:
        print(""Execute with args."")
    print(run_plain)


execution_plan()
"
13,example_13.py,File handling as bool flags,"# Example 13: File handling as bool flags (probe-aligned)


def file_op_stub():
    exists = True
    missing = False
    if exists:
        print(""File deleted successfully."")
    print(missing)


file_op_stub()
"
14,example_14.py,User permissions as bool flags,"# Example 14: User permissions as bool flags (probe-aligned)


def permission_stub():
    is_admin = True
    is_denied = False
    if is_admin:
        print(""User granted admin access."")
    print(is_denied)


permission_stub()
"
15,example_15.py,Access levels as bool flags,"# Example 15: Access levels as bool flags (probe-aligned)


def role_stub():
    is_manager = True
    unknown = False
    if is_manager:
        print(""Manager assigned."")
    print(unknown)


role_stub()
"
16,example_16.py,File upload types as bool flags,"# Example 16: File upload types as bool flags (probe-aligned)


def upload_stub():
    is_pdf = True
    unsupported = False
    if is_pdf:
        print(""PDF uploaded successfully."")
    print(unsupported)


upload_stub()
"
17,example_17.py,Resource availability as bool flags,"# Example 17: Resource availability as bool flags (probe-aligned)


def reserve_stub():
    available = True
    busy = False
    if available:
        print(""Resource reserved."")
    print(busy)


reserve_stub()
"
18,example_18.py,Queue processing as bool flags,"# Example 18: Queue processing as bool flags (probe-aligned)


def process_queue_stub():
    has_item = True
    queue_empty = False
    if has_item:
        print(""Popped from queue."")
    print(queue_empty)


process_queue_stub()
"
19,example_19.py,Task scheduling as bool flags,"# Example 19: Task scheduling as bool flags (probe-aligned)


def schedule_stub():
    valid_id = True
    invalid_id = False
    if valid_id:
        print(""Task scheduled."")
    print(invalid_id)


schedule_stub()
"
20,example_20.py,Network connection as bool flags,"# Example 20: Network connection as bool flags (probe-aligned)


def connect_stub():
    connected = True
    conn_failed = False
    if connected:
        print(""Connected to server."")
    print(conn_failed)


connect_stub()
"
21,example_21.py,Database transaction as bool flags,"# Example 21: Database transaction as bool flags (probe-aligned)


def commit_transaction():
    should_commit = True
    no_tx = False
    if should_commit:
        print(""Transaction committed."")
    print(no_tx)


commit_transaction()
"
22,example_22.py,Email sending as bool flags,"# Example 22: Email sending as bool flags (probe-aligned)


def send_email_stub():
    has_recipient = True
    missing_to = False
    if has_recipient:
        print(""Email sent."")
    print(missing_to)


send_email_stub()
"
23,example_23.py,File renaming batch as bool flags,"# Example 23: File renaming batch as bool flags (probe-aligned)


def rename_stub():
    has_files = True
    empty_list = False
    if has_files:
        print(""Renamed files."")
    print(empty_list)


rename_stub()
"
24,example_24.py,API request outcome as bool flags,"# Example 24: API request outcome as bool flags (probe-aligned)


def fetch_stub():
    ok = True
    not_found = False
    if ok:
        print(""Data fetched successfully."")
    print(not_found)


fetch_stub()
"
25,example_25.py,Image compression as bool flags,"# Example 25: Image compression as bool flags (probe-aligned)


def compress_stub():
    compress_ok = True
    compress_skip = False
    if compress_ok:
        print(""Image compressed."")
    print(compress_skip)


compress_stub()
"
26,example_26.py,Login success as bool flags,"# Example 26: Login success as bool flags (probe-aligned)


def login_flow():
    authenticated = True
    locked_out = False
    if authenticated:
        print(""Welcome back."")
    print(locked_out)


login_flow()
"
27,example_27.py,Feature toggle,"# Example 27: Feature toggle (probe-aligned)


def feature_flags():
    beta_enabled = True
    legacy_off = False
    if beta_enabled:
        print(""Beta UI active."")
    print(legacy_off)


feature_flags()
"
28,example_28.py,Payment authorized,"# Example 28: Payment authorized (probe-aligned)


def payment_stub():
    authorized = True
    declined = False
    if authorized:
        print(""Payment captured."")
    print(declined)


payment_stub()
"
29,example_29.py,Cache hit,"# Example 29: Cache hit (probe-aligned)


def cache_lookup():
    cache_hit = True
    cache_miss = False
    if cache_hit:
        print(""Served from cache."")
    print(cache_miss)


cache_lookup()
"
30,example_30.py,Subscription active,"# Example 30: Subscription active (probe-aligned)


def subscription_check():
    is_active = True
    is_expired = False
    if is_active:
        print(""Subscription valid."")
    print(is_expired)


subscription_check()
"
31,example_31.py,Two-factor enabled,"# Example 31: Two-factor enabled (probe-aligned)


def mfa_status():
    mfa_on = True
    mfa_off = False
    if mfa_on:
        print(""2FA required."")
    print(mfa_off)


mfa_status()
"
32,example_32.py,Backup completed,"# Example 32: Backup completed (probe-aligned)


def backup_job():
    backup_ok = True
    backup_failed = False
    if backup_ok:
        print(""Backup finished."")
    print(backup_failed)


backup_job()
"
33,example_33.py,Rate limit,"# Example 33: Rate limit (probe-aligned)


def rate_limit_stub():
    under_limit = True
    throttled = False
    if under_limit:
        print(""Request allowed."")
    print(throttled)


rate_limit_stub()
"
34,example_34.py,SSL certificate valid,"# Example 34: SSL certificate valid (probe-aligned)


def tls_check():
    cert_valid = True
    cert_bad = False
    if cert_valid:
        print(""TLS OK."")
    print(cert_bad)


tls_check()
"
35,example_35.py,Webhook delivery,"# Example 35: Webhook delivery (probe-aligned)


def webhook_stub():
    delivered = True
    bounced = False
    if delivered:
        print(""Webhook sent."")
    print(bounced)


webhook_stub()
"
36,example_36.py,Job queue worker idle,"# Example 36: Job queue worker idle (probe-aligned)


def worker_state():
    worker_busy = True
    worker_idle = False
    if worker_busy:
        print(""Processing job."")
    print(worker_idle)


worker_state()
"
37,example_37.py,Idempotency key seen,"# Example 37: Idempotency key seen (probe-aligned)


def idempotent_request():
    first_time = True
    duplicate = False
    if first_time:
        print(""Applied change."")
    print(duplicate)


idempotent_request()
"
38,example_38.py,Canary deployment,"# Example 38: Canary deployment (probe-aligned)


def rollout():
    canary_live = True
    rollback = False
    if canary_live:
        print(""Canary receiving traffic."")
    print(rollback)


rollout()
"
39,example_39.py,Circuit breaker closed,"# Example 39: Circuit breaker closed (probe-aligned)


def circuit_breaker():
    circuit_closed = True
    circuit_open = False
    if circuit_closed:
        print(""Calls pass through."")
    print(circuit_open)


circuit_breaker()
"
